"%s days","%s dagen"
"-- Remove Coupon --","-- Verwijder Coupon --"
"-- Select Coupon --","-- Selecteer Coupon --"
"Account Information","Account informatie"
"Action","Actie"
"Action is blocked in quote confirmation mode","Actie is geblokkeerd in offerte bevestiging status"
"Add","Toevoegen"
"Add Qty","Staffel"
"Add Selected Product(s) to Advanced Quote","Voeg geselecteerde product(en) toe aan offerte aanvraag"
"Add new Qty","Nieuw aantal toevoegen"
"Address","Adres"
"Add to Cart","Bestel"
"Add to Quote","Offerte"
"Adjustment Quote","Aanpassing offerte"
"Adjustment Quote (%s)","Aanpassing offerte (%s)"
"Adjustment Quote (Incl. default Tax)","Aanpassing offerte (Incl. standaard BTW)"
"All items were moved to cart successfully.","Alle producten zijn succesvol in winkelwagen geplaatst."
"Are you sure?","Weet u het zeker?"
"Back to My Quotes","Terug naar Mijn offertes"
"Be advised to enter your comments","Vul uw opmerkingen, gewenste aantallen en gegevens alleen in als u klaar bent met de offerte aanvraag. Deze informatie wordt gewist als u dit scherm verlaat zonder de offerte aanvraag te verzenden. Als u een account heeft log dan eerst in."
"Billing address wasn't added","Factuur adres niet ingevuld"
"By deleting an item, you will create a new quote request. Do you want to do this?","Door een product te verwijderen maakt u een nieuwe offerte aanvraag. Wilt u dat?"
"Can't remove item","Kan product niet verwijderen"
"Can't update quote list","Kan offerte lijst niet aanpassen"
"Cancel","Annuleer"
"Cancel Quote","Annuleer offerte"
"Can not add client note request to the product.","Kan de opmerking niet toevoegen aan het product."
"Can not add customer address.","Kan klantadres niet toevoegen"
"Can not add one of the items to quote request.","Kan een van de producten niet toevoegen aan de offerte aanvraag."
"Cannot configure product.","Kan het product niet aanpassen."
"Cannot update the item.","Kan het product niet bijwerken."
"Change status","Wijzig status"
"Change to Quotation mode?","Omschakelen naar offerte modus?"
"Checking..","Controleren..."
"City","Plaats"
"Comment with Product","Opmerking bij product"
"Company","Bedrijfsnaam"
"Confirm and CheckOut","Bevestigen en betalen"
"Continue","Doorgaan"
"Continue Shopping","Verder winkelen"
"Copy to Quotation","Kopieer naar offerte"
"Copy to Quotation?","Kopieer naar offerte?"
"Could not load Coupon Code","Coupon Code kon niet worden geladen"
"Country","Land"
"Create New Quote","Maak nieuwe offerte"
"Create Order","Bestelling aanmaken"
"Create Quotation","Maak offerte"
"Created On","Gemaakt op"
"Customer's email was undefined","E-mail adres klant niet ingevuld"
"Customer Group","Klant groep"
"Customer Name","Klant naam"
"Customer email already exists. You should login <a href=%s>here</a>","Dit email adres bestaat al. Klik <a href=%s>hier om in te loggen</a>"
"Customer not recognized for new quote","Klant niet herkend voor nieuwe offerte"
"Date","Datum"
"Date of Proposal","Offerte datum"
"Delete","Verwijder"
"Discount (%s)","Korting (%s)"
"Do you have a general remark with your quote request?","Heeft u een opmerking bij deze offerte aanvraag?"
"Duplicate value entered","Kopieer deze waarde"
"Edit","Wijzigen"
"Edit Quote","Offerte wijzigen"
"Edit Request","Offerte wijzigen"
"Email","Email"
"Email Address","Email adres"
"Email already exists","Email adres bestaat al"
"Email was sent to client","Email is verstuurd naar klant"
"File","Bestand"
"First Name","Voornaam"
"First save this Quotation","Sla eerst deze offerte op"
"Fixed Shipping & Handling price","Vaste verzend- en behandelkosten"
"Follow Up","Follow Up"
"Follow Up Date","Opvolg datum"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","Om deze module zichtbaar te maken in de front-end moet u 'Use Cart2Quote templates' op 'Ja' zetten of uw custom theme files aanpassen."
"Grand Total","Eindtotaal"
"Grand Total (Excl. Tax)","Eindtotaal (Excl. BTW)"
"Grand Total (Incl. Tax)","Eindtotaal (Incl. BTW)"
"Grand Total to be Charged","Eindtotaal in rekening te brengen"
"Item %s wasn't moved to Shopping cart","Product %s is niet naar de winkelwagen verplaatst"
"Item %s wasn't removed from Quote mode","Product %s is niet verwijderd van de offerte aanvraag"
"Item(s) were moved from Quote to Order mode successfully.","Artikelen zijn succesvol overgezet van offerte aanvraag naar winkelwagen"
"Item(s) were moved to Quote mode successfully.","Artikelen zijn succesvol overgezet naar offerte modus"
"Item Manager","Product manager"
"Items Manager","Producten manager"
"Items Quoted","Producten aangevraagd"
"Item was deleted successfully.","Het product is succesvol verwijderd."
"Item was moved to cart successfully.","Het product is succesvol in de winkelwagen geplaatst."
"Item was moved to quote successfully.","Het product is succesvol verplaatst naar de offerte aanvraag."
"Last Name","Achternaam"
"Minimum of one Qty is required","Tenminste een aantal is verplicht"
"Move to Shopping cart","Naar winkelwagen"
"My Quote","Mijn Prijs Aanvraag"
"My Quote (%s item)","Mijn Prijs Aanvraag (%s item)"
"My Quote (%s items)","Mijn Prijs Aanvraag (%s items)"
"My Quotes","Mijn offertes"
"No Items to display.","Geen producten om te laten zien."
"No item in quote.","Geen producten in de offerte."
"Notes with Product:","Opmerking bij product:"
"Original Price","Originele prijs"
"Per Item","Per item"
"Please select required qty and check out online to see applicable price.","Kies eerst het gewenste aantal, de verzendkosten worden getoond in het betaalproces."
"Please specify product quantity.","Vul het aantal in."
"Price","Prijs"
"Price Proposal","Offerte prijs"
"Price_proposal_%s","Offerte_%s"
"Print Quote","Offerte uitprinten"
"Proceed to Checkout","Ga door naar betalen"
"Product","Product"
"Product %s successfully added to Quote Request","Product %s is succesvol toegevoegd aan de offerte aanvraag"
"Product Information","Product informatie"
"Product Name","Productnaam"
"Product image","Productafbeelding"
"Product name","Productnaam"
"Proposal Valid Until: %s","Offerte geldig tot: %s"
"Proposal valid until","Offerte geldig tot"
"QTY","Aantal"
"Qquote cancel email was't sent to admin for quote #%s","De offerte-annuleren email is niet verstuurd naar admin voor offerte aanvraag #%s"
"Qquote proposal email was't sent to the client for quote #%s","De offerte email is niet verstuurd naar de klant voor offerte aanvraag #%s"
"Qquote request email was't sent to admin for quote #%s","De offerte aanvraag email is niet verstuurd naar admin voor offerte #%s"
"Qty","Aantal"
"Quotation #%s - Proposal","Offerte aanvraag #%s"
"Quotation #%s was rejected","Offerte #%s is afgewezen"
"Quotation Date: %s","Offerte datum: %s"
"Quotations","Offertes"
"Quote","Offerte"
"Quote #","Offerte #"
"Quote # %s | Quote Date %s","Offerte aanvraag # %s | Offerte aanvraag datum %s"
"Quote Proposal","Offerte nummer"
"Quote Request in Process, wait for price proposal Shop owner","Offerte aanvraag in behandeling, wacht op een prijsvoorstel."
"Quote Status","Offerte status"
"Quote item is not found.","Kan het artikel niet vinden."
"Quote list was updated successfully.","De offerte lijst is succesvol aangepast."
"Quote profit","Offerte winst"
"Quote request","Offerte aanvraag"
"Quote request is converted from %d%% VAT to %d%% VAT.","Offerte aanvraag is geconverteerd van %d%% BTW naar %d%% BTW."
"Quote subtotal (%s)","Offerte subtotaal (%s)"
"Quote view","Offerte bekijken"
"Quote was successfully canceled","Offerte aanvraag is succesvol geannuleerd"
"Quote was successfully saved","Offerte is succesvol opgeslagen"
"RFQ From","Aanvraag van"
"Reject Proposal","Offerte afwijzen"
"Remark with Proposal","Opmerking bij offerte"
"Remove","Verwijderen"
"Remove item","Verwijder product"
"Request a shipping quote","Vraag een offerte voor verzendkosten aan"
"Requested information","Opmerkingen"
"Request for Quote","Offerte aanvraag"
"Request information","Opmerkingen en/of wensen voor dit product"
"Request quote","Vraag offerte aan"
"Resubmit Quote","Vraag opnieuw aan"
"SKU","SKU"
"ACTION_OWNER","- Actie voor winkeleigenaar"
"ACTION_CUSTOMER","- Actie voor klant"
"STATUS_AUTO_PROPOSAL","Offerte gereed"
"STATUS_BEGIN","Gestart"
"STATUS_CANCELED","Offerte geannuleerd"
"STATUS_CONFIRMED","Offerte geaccepteerd"
"STATUS_DENIED","Offerte geweigerd"
"STATUS_ORDERED","Omgezet naar bestelling"
"STATUS_PROPOSAL","Offerte gereed"
"STATUS_PROPOSAL_BEGIN","Offerte aangemaakt, niet verstuurd"
"STATUS_PROPOSAL_EXPIRED","Offerte verlopen"
"STATUS_PROPOSAL_SAVED","Offerte in Afwachting"
"STATUS_REQUEST","In behandeling"
"STATUS_REQUEST_EXPIRED","Aanvraag verlopen"
"SUBSTATUS_CANCELLED_SUB100","- Niet op voorraad"
"SUBSTATUS_PROPOSAL_SUB100","- Voorstel gemaakt door verkoper"
"SUBSTATUS_PROPOSAL_SUB200","- Verkoper neemt contact op met klant"
"SUBSTATUS_PROPOSAL_SUB300","- In afwachting van betaling"
"SUBSTATUS_REJECTED_SUB100","- Stuur klant nieuwe offerte"
"SUBSTATUS_SAVED_SUB100","- Voorstel in de wacht"
"SUBSTATUS_SAVED_SUB200","- Wachten op leverancier"
"Save Quote","Bewaar offerte"
"Select Qty","Selecteer Aantal"
"Select in Checkout","Kies bij afrekenen"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","Selecteer een aantal per product. (Bij het wijzigen van dit product kunt u extra staffels toevoegen in dit scherm.)"
"Set Follow Up date","Wijzig follow up datum"
"Shipping & Handling","Verzend- en behandelkosten"
"Shipping & Handling (Excl. Tax)","Verzend- en behandelkosten (Excl. BTW)"
"Shipping & Handling (Incl. Tax)","Verzend- en behandelkosten (Incl. BTW)"
"Shipping & Handling price per Item","Verzend- en behandelkosten per product"
"Shipping & Handling price varies.","Verzend- en behandelkosten varieren."
"Shipping Address","Verzend adres"
"Shipping Method","Verzend methode"
"Shipping details","Verzend gegevens"
"Sku","Sku"
"State/Province","Provincie"
"Status","Status"
"Submit Quote","Verstuur offerte"
"Subtotal","Subtotaal"
"Subtotal Original (%s)","Origineel Subtotaal (%s)"
"Tax","BTW"
"Telephone","Telefoon"
"Thank you for your interest!","Bedankt voor uw interesse!"
"The Cart2Quote template files are disabled.","De Cart2Quote template files zijn uitgeschakeld."
"This item will be removed from the list if you continue:","Dit product wordt van de lijst verwijderd wanneer u doorgaat:"
"This quote list contains items that cannot ordered.","Deze offerte bevat artikelen die niet besteld kunnen worden."
"Tier/Qty","Staffel"
"Title","Titel"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Als u een offerte aanvraag heeft voor een product moet u <a href='%s'>uitloggen</a> uit de offerte-bevestiging status."
"Unable to find item to save","Kon geen product vinden om op te slaan"
"Unit price","Stuksprijs"
"Url","Url"
"View","Bekijk"
"View Quote","Bekijk offerte"
"Visit customer dashboard for more options","Bezoek uw dashboard voor meer opties"
"You're welcome to place a new Request for Quote","Vraag u gerust een nieuwe offerte aan."
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","U kunt nu een offerte aanvraag bevestigen, <a href='%s'>log uit</a>."
"You are in a quote edit mode, <a href='%s'>log out</a>.","U nu een offerte aan het bewerken. <a href='%s'>Log uit van offerte bewerken</a>."
"You have placed no quotes.","U heeft geen offerte aanvragen geplaatst."
"You log out successfully from Quote confirmation mode.","U bent succesvol uitgelogd uit de offerte bevestigingsmodus."
"Your quote request # is: %s.","Uw offerte aanvraag # is: %s."
"Your quote request has been received","We hebben uw offerte aanvraag ontvangen"
"You will receive a quote confirmation email with a link to track progress.","U ontvangt van ons een bevestigingsemail met een link om de voortgang van de offerte aanvraag te volgen"
"Zip/Postal Code","Postcode"
"in process...","bezig..."
"BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS","BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS"
"BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS","BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS"
"BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS","BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS"
"BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS","BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS"
"BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS","BELOW THIS LINE ARE THE NEW ADDED TRANSLATION KEYS"
"%s cannot be added to the quotation in the requested quantity.","%s kan niet in de gevraagde hoeveelheid worden toegevoegd aan de offerte."
"%s cannot be ordered in requested quantity.","%s kan niet in de gevraagde hoeveelheid besteld worden."
"%s cannot be quotated for in requested quantity.","%s kan niet in de gevraagde hoeveelheid geoffreerd worden."
"%s cannot be quotated for the requested quantity.","%s kan niet voor de gevraagde hoeveelheid geoffreerd worden."
"%s is available for quotation in increments of %s only.","%s is alleen beschikbaar voor offrering in stappen van %s"
