"%s days","%s dias"
"Account Information","Informações da sua conta"
"Action","Ação"
"Action is blocked in quote confirmation mode","Essa ação foi bloqueada na modo confirmação da cotação"
"Add","Adicionar"
"Add Qty","Acrescentar"
"Add Selected Product(s) to Advanced Quote","Adicionar produto(s) seleciado no pedido de cotação"
"Add new Qty","Adicionar nova Quant."
"Address","Endereço"
"Add to Cart","Adicionar ao Carrinho"
"Add to Quote","Cotar"
"All items were moved to cart successfully.","Todos produtos foram enviados para o carrinho de compra com sucesso."
"Are you sure?","Você tem certeza?"
"Assigned to","Designado para"
"Back to My Quotes","Voltar para minhas cotações"
"Be advised to enter your comments","Digite os seus comentários. Estas informações serão apagada caso você saia dessa tela sem enviar o pedido de cotação. Se você tiver uma conta, por favor acesse ."
"Billing address wasn't added","Seu endereço não foi adicionado"
"By deleting an item, you will create a new quote request. Do you want to do this?","Ao excluir um produto, você irá criar um novo pedido de cotação. Você quer fazer isso?"
"Can't remove item","Não foi possível remover esse produto"
"Can't update quote list","Não foi possível atualizar a lista de cotação"
"Cancel","Cancelar"
"Cancel Quote","Cancelar cotação"
"Can not add client note request to the product.","Não foi possível incluir uma observação do cliente ao produto."
"Can not add customer address.","Não foi possível incluir o endereço do cliente."
"Can not add one of the items to quote request.","Não foi possível incluir um dos produtos na quotação."
"Cannot configure product.","Produto não pode ser configurado."
"Cannot update the item.","Produto não pode ser atualizado."
"Change status","Mudar andamento"
"Checking..","Verificando…"
"City","Cidade"
"Comment with Product","Comentário do produto"
"Company","Empresa"
"Confirm and CheckOut","Confirmar e finalizar"
"Continue","Continuar"
"Continue Shopping","Continue comprando"
"Copy to Quotation","Copiar para cotação"
"Copy to Quotation?","Você quer copiar para cotação?"
"Country","País"
"Create New Quote","Criar nova cotação"
"Create Order","Criar Compra"
"Created On","Criado em"
"Customer Group","Grupo de cliente"
"Customer Name","Nome do cliente"
"Customer email already exists. You should login <a href=%s>here</a>","Esse email já existe. Clique <a href=%s>aqui</a>para acessar sua conta."
"Customer not recognized for new quote","Cliente não reconhece nova cotação"
"Date","Data"
"Date of Proposal","Data da proposta"
"Delete","Deletar"
"Do you have a general remark with your quote request?","Você tem algum comentário sobre seu pedido de cotação?"
"Duplicate value entered","Duplicar valores"
"Edit","Editar"
"Edit Quote","Editar cotação"
"Edit Request","Editar cotação"
"Email","Email"
"Email Address","Endereço de email"
"Email already exists","Esse email já existe"
"Email was sent to client","Email foi enviado ao cliente"
"File","Arquivo"
"First Name","Nome"
"First save this Quotation","Armazene essa cotação"
"Fixed Shipping & Handling price","Preço do frete & manuseio"
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","Para visualização desse modúlo por favor selecione 'Yes' os templates do Cart2Quote ou ajuste seus arquivos customizados."
"Item %s wasn't moved to Shopping cart","Produto %s não foram inseridos no carrinho de compra"
"Item %s wasn't removed from Quote mode","Produto %s não foram removidos da cotação"
"Item(s) were moved from Quote to Order mode successfully.","Produto(s) foi transferido da cotação para compra com sucesso."
"Item Manager","Gerenciamento de produto"
"Items Manager","Gerenciamento de produtos"
"Items Quoted","Produtos requeridos"
"Item was deleted successfully.","Produto foi deletado com sucesso."
"Item was moved to cart successfully.","Produto foi inserido com sucesso ao carrinho de compra."
"Item was moved to quote successfully.","Produto foi inserido com sucesso na cotação."
"Last Name","Sobrenome"
"Linked Orders","Conectado á Compras"
"Linked Quote Request","Conectado ao pedido de cotação"
"Minimum of one Qty is required","Minímo de um é requerido"
"Move to Shopping cart","Mudar para carrinho de compra"
"My Quote","My Quote"
"My Quote (%s item)","My Quote (%s item)"
"My Quote (%s items)","My Quote (%s items)"
"My Quotes","Minhas Quotações"
"No Items to display.","Não há produto"
"No item in quote.","Não há nenhum produto(s) na sua cotação."
"Original Price","Preço original"
"Per Item","Preço por produto"
"Please select required qty and check out online to see applicable price.","Por favor selecione a quantidade desejada, os custos de envio será exibido no processo de pagamento."
"Please specify product quantity.","Por favor, especificar a quantidade do produto."
"Price","Preço"
"Price Proposal","Preço da proposta"
"Price_proposal_%s","Proposta_de_Preço_%s"
"Print Quote","Imprimir cotação"
"Product","Produto"
"Product %s successfully added to Quote Request","Produto %s adicionados com sucesso no pedido de cotação"
"Product Information","Informação do produto"
"Product Name","Nome do produto"
"Product name","Nome do Produto"
"Proposal Valid Until: %s","Propostas válida até: %s"
"Proposal valid until","Proposta válida até"
"QTY","Quant."
"Qquote cancel email was't sent to admin for quote #%s","O cancelamento não foi enviado para a administração da cotação #%s"
"Qquote proposal email was't sent to the client for quote #%s","A proposta não foi enviada para o cliente da cotação #%s"
"Qquote request email was't sent to admin for quote #%s","O email da solicitação não foi enviado para a administração da cotação #%s"
"Qty","Quant."
"Quotation #%s - Proposal","Proposta de cotação #%s"
"Quotation #%s was rejected","Cotação #%s foi rejeitada com sucesso"
"Quotation Date: %s","Data do pedido de cotação: %s"
"Quotations","Cotações"
"Quote","Pedido de cotação"
"Quote #","Cotação #"
"Quote Proposal","Proposta de cotação"
"Quote Request in Process, wait for price proposal Shop owner","Pedido de cotação em progresso, por favor aguarde pela proposta."
"Quote Status","Andamento do pedido de cotação"
"Quote item is not found.","Produto cotado não encontrado."
"Quote list was updated successfully.","Lista de cotação atualizada com sucesso."
"Quote request","Pedido de Cotação"
"Quote view","Visualizar cotação"
"Quote was successfully canceled","Lista de cotação foi cancelada com sucesso"
"Quote was successfully saved","Pedido de cotação foi armazenado com sucesso"
"RFQ From","RFQ De"
"Reject Proposal","Proposta rejeitada"
"Remark with Proposal","Comentário adicionados na proposta"
"Remove","Remover"
"Remove item","Remover produto"
"Request a shipping quote","Requerir cotação de frete"
"Requested information","Coméntario do produto"
"Request for Quote","Pedido de cotação"
"Request information","Coméntario do produto"
"Request quote","Enviar pedido de cotação"
"Resubmit Quote","Reenviar cotação"
"SKU","SKU"
"STATUS_AUTO_PROPOSAL","Proposta enviada"
"STATUS_BEGIN","Iniciando"
"STATUS_CANCELED","Proposta cancelada"
"STATUS_CONFIRMED","Proposta aceita"
"STATUS_DENIED","Proposta rejeitada"
"STATUS_ORDERED","Comprado"
"STATUS_PROPOSAL","Proposta enviada"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_PROPOSAL_EXPIRED","Proposta expirada"
"STATUS_PROPOSAL_SAVED","Proposta salva"
"STATUS_REQUEST","Processando"
"STATUS_REQUEST_EXPIRED","Pedido expirado"
"Save Quote","Salvar cotação"
"Shipping & Handling price per Item","Preço de frete e nanuseio por produto"
"Shipping & Handling price varies.","Preços de envio e manuseio variavél."
"Shipping Address","Endereço de envio"
"Shipping Method","Metódo de envio"
"Shipping details","Detalhes de envio"
"Sku","SKU"
"State/Province","Estado"
"Status","Andamento"
"Submit Quote","Enviar Proposta"
"Subtotal","Subtotal"
"Tax","Imposto"
"Telephone","Telefone"
"Thank you for your interest!","Obrigado pelo seu interesse!"
"The Cart2Quote template files are disabled.","Os arquivos de template do Cart2Quote estão desativados."
"The following item will not be added to the quotation list if you continue:","Se você continuat o seguinte produto(s) irá ser adicionado na sua lista de cotação:"
"This item will be removed from the list if you continue:","Se você continuar, o seguinte produto(s) será removido da lista:"
"This order list contains items that cannot quoted.","Nessa compra tem produtos que não podem ser cotados."
"This quote list contains items that cannot ordered.","Essa cotação contém produtos que não poderão ser comprados."
"Tier/Qty","Tier/Qty"
"Title","Titulo"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Para adicionar produto no seu pedido de cotação <a href='%s'>saia</a> do modo de confirmação de cotação."
"Unable to find item to save","Não foi possivel encontrar produto para armazenar"
"Unit price","Preço unitário"
"Url","Url"
"View Quote","Veja cotação"
